,Unnamed: 0,Length,Temperature,Weight,Wingspan,Label
0,0,351.5766224348787,380.87391810236886,1497.8477355510474,41.20005513888596,Orange Dragon
1,1,312.9535519236838,213.35487933031285,1524.4074948610248,55.55988721870775,Red Dragon
2,2,124.8433971541872,281.5430110335824,3658.5213112732745,66.03012804976855,Blue Dragon
3,3,369.3070301800857,360.96208371140284,1502.1935984973684,46.75323801200297,Orange Dragon
4,4,164.89471974750418,325.0966218419631,6898.924180667247,50.5410414343594,Purple Dragon
5,5,224.2557701309314,286.64510458505737,7318.513921621449,34.329205724668824,Purple Dragon
6,6,392.6940727350221,358.6966769062001,2058.2797956157474,29.77217733701592,Orange Dragon
7,7,150.64576423342768,282.0048160947241,5602.876355387449,64.45018990410954,Purple Dragon
8,8,322.5048186844453,352.58162674074094,5240.363341865259,33.731796301533215,Green Dragon
9,9,316.5771193065384,286.26077316712974,8410.51761636124,30.326073421534492,Yellow Dragon
10,10,407.3455417040148,341.0470151594489,1220.8683344899655,53.65698522592293,Orange Dragon
11,11,340.92835261981526,345.07075043821845,2414.291115208101,42.943888841402476,Orange Dragon
12,12,306.2079609315527,207.123300534931,1991.8447550742096,54.68622246327619,Red Dragon
13,13,348.1173146644468,194.05013772138625,1381.498321787736,40.12632693385174,Red Dragon
14,14,252.21735299905762,208.1214067722946,1770.8898387422144,63.483624922605784,Red Dragon
15,15,295.83188977613946,204.98699456250938,1218.3470157929542,43.38528358602933,Red Dragon
16,16,332.91415746185345,205.1945039357337,681.9099142456995,64.8847763974802,Red Dragon
17,17,48.51781905676086,106.43283413761469,4640.539249160106,55.60214334097875,Black Dragon
18,18,129.7240892305629,211.3982430762356,2794.1917856377245,92.57656080835986,Blue Dragon
19,19,331.269696684016,216.72003747618615,1232.2598692042648,55.06485391543314,Red Dragon
20,20,299.2664322608185,361.48001730370413,4946.855153093279,50.52425886666438,Green Dragon
21,21,294.3620635400146,329.36842298438125,8318.993446893768,26.914137444135807,Yellow Dragon
22,22,304.74285532867765,248.74923679542988,1863.125127498468,55.7052386883092,Red Dragon
23,23,153.55780778695538,313.7131004823882,6020.294429640724,58.11082043639145,Purple Dragon
24,24,125.1037606705464,72.89926828838368,4580.360324690686,58.648602830204496,Black Dragon
25,25,216.90135733964993,310.42748027202293,6893.703583334736,48.93244506509415,Purple Dragon
26,26,311.1055629802098,183.81530883622796,1366.0132920293966,52.564225881293964,Red Dragon
27,27,209.71752021698518,314.38014901606016,7058.012437090301,48.041978118467426,Purple Dragon
28,28,172.4341058145281,308.27953157646544,6633.787373022352,36.667398459118154,Purple Dragon
29,29,267.8862089410437,297.5153593376914,7579.166533048183,53.69023354257474,Yellow Dragon
30,30,289.58706118030614,310.2892475997913,7506.016553431175,41.71688341333375,Yellow Dragon
31,31,158.1423310166096,37.425857722498975,3955.0343266396058,53.18870689354212,Black Dragon
32,32,98.26150866115351,258.8132892275801,3228.732268830749,68.40377446056812,Blue Dragon
33,33,207.17248130567933,303.679819167682,6366.668595801643,49.90745662775146,Purple Dragon
34,34,69.22832087476918,98.9891654212135,3113.273146257579,54.81412804809549,Black Dragon
